g,label,CS Code,CS Code,CS Code
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Huis van burgerlijke en militaire verzekering,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Garnizoensbakkerij,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Garnizoens-Infirmerie,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Kavalleriestalling,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Kazerne der Infanterie,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Kostschool,2-62,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Stichting Fribourg,2-74,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Hervormd diaconiehuis,2-75,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Cellulaire gevangenis,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Huis van arrest,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Huis van opsluiting en tuchtiging,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Hôtel de Nieuwe Doelen,3-1,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Hôtel het wapen van Friesland,3-1,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Hôtel Phoenix,3-1,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Huizen,1-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Overige huizen,2-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Schepen,2-10,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,1ste gesticht. Hoofdgebouwen,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,2e gesticht. Hoofdgebouwen,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,3e gesticht. Hoofdgebouwen,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Gesticht voor ooglijders,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Armwerkhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,"Diaconie arm-, wees- en werkhuis",2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Diaconie armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Kazerne der Infanterie,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Kostschool,2-62,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Huis van bewaring,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Huis van arrest en bewaring,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Werkhuis,2-82,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Werkhuis der Nederl. Herv. Gemeente,2-82,,
http://lod.cedar-project.nl/resource/v2/VT_1879_04_H1,Verspreide huizen,1-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Overige huizen,2-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Schepen,2-10,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Ziekenhuis (Calvariënberg),2-21,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Gebrekkigenhuis (Calvariënberg),2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Krankzinnigenhuis (Calvariënberg),2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Gesticht voor oude lieden en kinderen (St. Joseph),2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Gesticht voor oude lieden en kinderen (St. Josephs),2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Gesticht voor oude lieden en kinderen (St. Jozefs-),2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Wees- en Oude mannen- en vrouwenhuis,2-31,2-43,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Oudmannen- (Twaalf Apostelen-) huis,2-31,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,St. Gilles-Gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Armhuis (St. Vincentius),2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,R. K. Armhuis (Nieuwenhof),2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,"Klooster der Broeders van de Onbevlekte Ontvangenis, Kostschool en Weeshuis",2-43,2-72,2-62
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,R. C. Weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Gereformeerd Weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,R. C. Godshuis (Louisa-huis),2-44,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Garnizoens-Infirmerie,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Garnizoens-Bakkerij,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Garnizoensbakkerij,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Garnizoens-Nachtlegermagazijn,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Kazerne der Veld-Artillerie,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Cavalerie- en Rijschool-kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Maréchausée- en Cavalerie-kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Infanterie-Kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Infanterie- (Muzijkanten-) kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Gemengde hulpkazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Maréchaussée-kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Bisschoppelijk Collegie en kostschool,2-62,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Kostschool,2-62,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Collegie en Pensionaat,2-63,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Franciscanessen-klooster (St. Anna),2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Josephiten-klooster en Armhuis (St. Joseph),2-72,2-42,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Broeders van de Onbevlekte Ontvangenis en kostschool (St. Louis),2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Franciscanessen en kostschool (St. Clara),2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Zusters van het arme kindje Jezus en kostschool (St. Joseph),2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Ursulinen-klooster en kostschool,2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Franciscanessen,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Zusters van Liefde,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Ursulinen en kostschool,2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Zusters van de Goddelijke Voorzienigheid en Opvoedings-gesticht,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Franciscanen,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Dominicanen,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster d. Ursulinen en kostschool,2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Jesuiten-klooster,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster van zusters van het arm kindje Jesus,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster en kostschool der Franciscanessen,2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der zusters van Liefde en kostschool,2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Franciscanessen en opvoedings-gesticht,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der zusters van Liefde en ziekenhuis,2-72,2-21,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Ursulinen-klooster,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Zusters van het Arm Kind Jesus en kostschool,2-72,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Broeders van de Onbevlekte Ontvangenis,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Minderbroedersklooster,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster d. Usulinen,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klooster der Zusters der Goddelijke Voorzienigheid,2-72,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Seminarie,2-73,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Klein Seminarie,2-73,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Huis van Arrest,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Huis van Bewaring,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Hofje van St. Marten,2-9,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Hôtel van Commensalen,3-1,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,O.L.V. Conventje,X,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,St. Matthias-Conventje,X,,
http://lod.cedar-project.nl/resource/v2/VT_1879_05_H1,Verspreide huizen,1-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Overige huizen,2-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Overige Schepen,2-10,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Schepen,2-10,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kanonneerboot Hydra,2-10,2-51,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Diaconie armgesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Gesticht voor huisvesting met weldadig doel,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Gesticht den Bal,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Armgesticht Annahof,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Oude mannen en vrouwenhuis,2-31,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Oude mannen en vrouwenh.,2-31,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Oude Gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Burgergasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Armhof ''St. Joris'',2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Burgerlijk Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Diaconie Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Klein armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Groot armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Israëlitisch armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Armhuis der Ned. Herv gemeente,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Armhuizen,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Burgerweeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Armweeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Burger weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,R. K. Weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Godshuis Carst,2-44,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Godshuis,2-44,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Woning voor gehuwde militairen,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Garnizoens-Infirmerie,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne der Maréchaussée,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne en hulpkazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne d. Maréchaussée,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne Cavalier,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne No. 1,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne Spookhuis,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Bomvrije kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne Westdijk,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kazerne Willem III,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Bijgebouw van Kazerne Willem III,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Fort Rammekens,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Fort,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Nonnenschool,2-61,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Kostschool voor meisjes,2-62,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,St. Cornelia Liefdehuis,2-71,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Liefdehuis,2-71,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Cellulaire gevangenis,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Huis van bewaring,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Huis van arrest,2-81,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Armhof ''de Molenberg'',X,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Hôtel ''Abdij'',3-1,,
http://lod.cedar-project.nl/resource/v2/VT_1879_06_H1,Infirmerie,X,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Overige huizen,2-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Schepen,2-10,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Ziekenhuis,2-21,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Garnizoens ziekenhuis,2-21,2-51,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Diaconie-gesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Roomsch Catholijk liefdegesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Opvoedingsgesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Liefdadigheidsgesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Krankzinnigengesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"Gesticht Croy, voor behoeftige mannen en vrouwen",2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,gesticht voor liefdezusters,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Gesticht van liefde,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Gesticht van Liefdadigheid,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"Gesticht voor blinden, weezen en verlaten jongens",2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"St. Anthoniusgesticht, kostschool",2-23,2-62,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"St. Elisabethsgesticht, gasthuis",2-23,2-41,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Instituut Hasselman,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Instituut voor doofstommen,2-24,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Oude mannenhuis,2-31,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Oude mannen- en vrouwenhuis,2-31,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Oude vrouwenhuis,2-32,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Gasthuis St. Catharina,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Algemeen burger gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"liefdehuis, gasthuis",2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,R. C. gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Zieken-gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,St. Jansgasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Protestantsch weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Roomsch weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Roomsch-katholiek weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"Fraterhuis, klooster, kweeksch. en weeshuis",2-43,2-72,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"Liefdehuis, klooster, kweekschool, weeshuis en armhuis",2-43,2-72,2-42
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Weeshuis der Hervormden,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Jongens- en meisjesweeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Garnizoenshospitaal,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Garnizoens-infirmerie,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Woningen voor militairen,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Koninklijk Militaire Akademie,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Garnizoens-bakkerij,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Garnizoens-hospitaal,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Militair woonhuis,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Garnizoensbakkerij Hampoort,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Woning voor militairen,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Garnizoensbakkerij,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Gevangenis voor veroordeelde vrouwen en huis van burgerlijke en militaire verzekering,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"wachterswoning, legerplaats",2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Magazijnmeesterswoning,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Wacht aan de Waterpoort,2-51,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne Markiezenhof,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne der maréchaussée,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne Koornmarkt,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne de maréchaussée,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne der infanteristen (Lange stallen),2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne der huzaren,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,"Markt, kazerne",2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Infanterie kazerne Noorderblok,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Maréchausséekazerne,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne der infanterie,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Kazerne der vestingartillerie,2-52,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Fort Bovensluis,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Fort de Hel,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,fort,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Fort Hoogen Maasdijk,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Fort Bernsche Hoeve,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Fort Papenbril (hoofdcursus),2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Fort Isabel,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,fort Orthen,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Fort Crèvecoeur,2-53,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Wachthuis bij de Koepoort,2-54,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Wachthuis,2-54,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Hoofdwachthuis,2-54,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Wachthuis buiten de Brugpoort,2-54,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Wachthuis buiten de Hampoort,2-54,,
http://lod.cedar-project.nl/resource/v2/VT_1879_10_H1,Wachthuis Maaspoort,2-54,,
