"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,46,Mutsenmaaksters,A,,,,,,,,,,,,,,,,,1,,,,4,,,5,13,,,13,17,,,6,4,,,3,1,,,4,3,,,2,,,,,,,,33,43,33,43,46,BT ,1889_02_T1,14,15,HET RIJK,29_0376
,,,47,id.,D,,,,,,,,,2,,,,,,,,1,,,,,,,,2,,,,2,,,1,2,,,,,,,,,,,2,,,,,,,,3,9,3,9,47,BT ,1889_02_T1,14,15,HET RIJK,29_0376
,,,48,Naaisters,A,,,,,,,3,,17,,,,89,,,17,402,,,22,206,,,153,604,,,318,390,,,186,175,1,,85,78,,,71,32,,,78,26,,,,,1,,930,2022,931,2022,48,BT ,1889_02_T1,14,15,HET RIJK,29_0376
,,,49,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,49,BT ,1889_02_T1,14,15,HET RIJK,29_0376
,,,50,id.,D,,,8,,26,,96,,326,,,,439,,,8,1026,,,9,381,,,169,1171,,,415,746,,,347,341,,,181,106,,,147,74,,,111,48,,,,,,,1387,4788,1387,4788,50,BT ,1889_02_T1,14,15,HET RIJK,29_0376
,,,51,Plisseerders,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,51,BT ,1889_02_T1,14,15,HET RIJK,29_0376
,VI,b,,"Reiniging, bleekerij, ververij",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,1,Bad- en zweminrichtingen,B,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,6,,,,6,,1,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,2,id.,D,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,1,2,2,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,3,Badhouders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,3,1,,,3,1,3,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,4,id.,B,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,1,1,2,1,4,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,5,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,1,2,,,,,,,,1,,,,1,,,,,,,,,,,,6,,,1,6,1,5,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,6,id.,D,,,,,,1,,1,,,,,,,1,,,,,,,2,,,,6,,,,1,,3,,1,,,,,,,,1,,,,,,,,11,3,3,,14,3,6,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,7,Barbiers,A,,,,,,,,3,,,10,,,15,34,,,17,13,,,205,35,2,,149,8,1,,51,2,2,,25,2,,1,18,,1,,5,1,1,,,,,,485,108,7,1,492,109,7,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,8,id.,D,,2,,13,,28,,99,,,108,,,5,176,,,1,19,,1,12,30,,,12,5,,,6,1,,,4,,,,,,,,,,,,,,,,40,481,,1,40,482,8,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,9,Bleekers,A,,,,,,,,,,,,,,,2,,,,1,,,26,3,2,1,29,2,1,3,16,,1,2,6,,1,,1,,,,1,,,,,,,,79,8,5,6,84,14,9,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,10,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,10,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,11,id.,C,,,,,,,,,,,,,3,,,,,,,,,1,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,5,1,,3,5,4,11,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,12,id.,D,,,,1,,1,2,3,3,,13,,5,1,27,,19,3,5,,7,21,14,,4,26,9,5,1,8,5,4,,6,,,1,3,,1,,2,,,,,,,,70,78,10,42,80,120,12,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,13,Dekenwasschers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,14,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,14,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,15,Handschoenenwasschers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,,1,1,,,,1,,,,,2,,2,3,4,3,15,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,16,id.,D,,,,,,,,,,,,,,,,,2,,,,3,,1,1,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,3,7,3,8,16,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,17,Kappers,A,,,,,,,,,,,,,,3,5,,1,2,4,,,56,12,1,,49,7,1,1,21,2,,,8,,1,,4,,,,2,,,,,,,,145,30,3,2,148,32,17,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,18,id.,B,,,,,,,,,,,,,,,,,,,2,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,4,18,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,19,id.,D,,,,,1,5,,25,1,,21,,2,1,56,,,1,7,,,16,15,,1,8,4,,1,2,2,,,2,,,,,,,,,,,,,,,,30,135,,6,30,141,19,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,20,Mangellieden,A,,,,,,,,,,,,,,,,3,3,,,3,,2,2,32,5,9,,145,7,5,1,83,6,4,,27,2,4,,24,2,3,,12,2,,,,,27,3,329,27,356,30,20,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,21,Mutsenwasschers,A,,,,,,,,,,,,,,,,,1,,,,1,,,3,9,,,4,12,,,3,3,,,1,1,,,,1,,,2,1,,,,,,,13,29,13,29,21,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,22,id.,D,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,3,,,,1,,,,,,,1,,,,,1,,,,,,,5,6,5,6,22,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,23,Schoenpoetsers,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,1,,,3,2,,,,2,,,1,,,,,,1,,,,,,10,6,1,,11,6,23,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,24,id.,D,,1,,,,,,2,,,,,,1,2,,,,3,,,7,1,,1,10,1,,,22,1,1,,17,2,1,,7,3,1,,3,1,1,,,,,,67,17,4,1,71,18,24,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,25,Stoffenververs,A,,,,,,,,,,,,,,,,,,,,,,1,,,,12,1,1,,5,1,1,,3,,,,2,,,,2,,,,,,,,25,2,2,,27,2,25,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,26,id.,B,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,26,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,27,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,27,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,28,id.,D,,,,,,,,2,,,1,,,,1,,,,,,,4,5,,,6,2,,,1,,,,,,,,,,,,,,,,,,,,11,11,,,11,11,28,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,29,Strijksters,A,,,,,,,,,3,,,2,11,,,4,73,,,5,37,,,47,137,,,116,83,,,77,46,,,27,13,,,7,7,,,11,4,,,,,,,296,414,296,414,29,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,30,id.,D,,,,,,,6,,45,,,,71,,,,218,,,19,64,,,54,114,,,46,50,,,14,15,,,10,4,,,5,1,,,2,2,,,,,,,150,590,150,590,30,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,31,Tapijtkloppers en reinigers,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,31,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,32,id.,D,,,,,,,,,,,,,,,1,,,,,,,1,1,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,6,2,,,6,2,32,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,33,Waschlieden,A,,,,,,,,,2,,,,3,,,8,23,,,3,11,3,,79,81,6,,249,72,6,,188,30,1,,51,3,,,53,8,,,25,6,,,,,16,,656,239,672,239,33,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,34,id.,D,,,,,,,1,,3,,,,12,,1,4,73,,,8,15,,,74,73,,2,179,77,,,133,35,,,49,9,,,30,4,,,19,1,,,,,,3,496,303,496,306,34,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,35,Waschinrichtingen,D,,,,,,,,1,2,,1,,,,,,5,,,,2,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,11,2,13,35,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,c,,Versiering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,36,Fabricage van handschoenen,A,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,36,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,37,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,37,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,38,id.,D,,,,1,,,,,,,,,,,,,1,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,3,3,38,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,39,Fabricage van militaire ornamenten,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,3,,39,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,40,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,3,,40,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,41,Fabricage van ridderorden,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,41,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,,Totaal voor VI,A,,,,1,,,4,5,32,1,15,2,122,35,125,43,684,44,51,48,370,693,183,433,1172,857,91,968,762,464,37,586,299,198,16,216,104,162,3,165,54,114,7,139,42,,,,,2568,534,2600,3645,5168,4179,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,,Totaal voor VI,B,,,,,,,,,,,,,,,,,,,4,,,6,5,1,,4,1,,3,4,,,2,,,,,,,,1,1,,,,,,,,15,10,1,6,16,16,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,,Totaal voor VI,C,,,,,,,1,,,,,,4,1,3,,4,2,5,,4,11,9,1,5,22,5,,4,8,1,,,7,,,,2,,,,,,,1,,,,,53,23,1,23,54,46,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,,Totaal voor VI,D,,7,9,36,33,122,135,383,527,1,405,,733,36,834,13,1678,58,170,39,576,596,423,318,1540,646,162,666,927,310,37,510,400,152,4,246,121,90,9,187,79,59,4,136,52,,,,,1948,2596,2115,6810,4063,9406,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,,Totaal voor groep VI,,,7,9,37,33,122,140,388,559,2,420,2,859,72,962,56,2366,104,230,87,950,1306,620,753,2717,1529,259,1634,1696,786,75,1096,701,357,20,462,225,254,12,352,134,174,11,275,95,0,0,0,0,4584,3163,4717,10484,9301,13647,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,VII,,,Kunstnijverheid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,a,,Beeld- en aardewerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,42,Beeldengieters,A,,,,,,,,,,,,,,,,,,,1,,,3,2,,,1,3,,,2,2,,,,,,,,,,,1,,,,,,,,7,8,,,7,8,42,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,43,id.,D,,,,,,,,,,,1,,,,3,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8,43,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,44,Beeldhouwers,A,,,,,,,,,,,1,,,,4,,,3,1,,,23,12,,,51,5,,,11,1,,,2,,,,2,1,,,1,,,,,,,,93,25,,,93,25,44,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,45,id.,D,,2,,3,,14,,28,,,36,,,,79,,,12,16,,,41,29,,,53,5,,,13,1,,,4,,,,1,,,,,,,,,,,,124,213,,,124,213,45,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,46,Krammers van aardewerk,A,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,46,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,47,Pleisterbeeldenmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,47,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,48,id.,D,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,48,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,,,49,Reparateurs van antiquiteiten,D,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,49,BT ,1889_02_T1,16,17,HET RIJK,29_0377
,VII,B,,Schilderwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,1,Glasschilders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,2,Plateelschilders,D,,,,,,,,2,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,1,5,2,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,3,Porceleinschilders,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,3,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,4,Id.,D,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,4,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,5,Vernissers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,5,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,C,,Metaalwerk enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,6,Cachetsnijders,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,6,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,7,Id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,7,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,8,Graveurs,A,,,,,,,,,,,1,,,,1,,,2,,,,10,5,,,20,5,,,13,2,,,4,,,,2,,,,3,,,,,,,,54,14,,,54,14,8,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,9,Id.,C,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,9,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,10,Id.,D,,,,2,,1,,2,,,4,,,,7,,,,2,,,6,12,1,,13,1,,,1,1,,,,,,,2,,,,,,,,,,,,22,32,1,,23,32,10,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,11,Ornamentgieters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,11,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,12,Id.,D,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,12,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,13,Ornamentmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,3,1,,,3,1,13,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,14,Id.,D,,,,,,,,,,,3,,,,2,,,,1,,,2,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,8,,,4,8,14,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,D,,Naaldwerk en andere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,15,Bloemenmaaksters,A,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,15,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,16,Borduursters,A,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,2,,,,1,,,,1,,,,2,,,,,,,,7,2,7,2,16,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,17,Id.,D,,,,,,,,,,,,,,,,,2,,,,1,,,,3,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,1,9,1,9,17,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,18,Borduurwerkers,A,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,5,1,1,,6,1,18,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,19,Id.,D,,,,,,1,,1,,,1,,,,1,,,,,,,3,,,,4,4,,1,,,,,1,,,,,,,,,,,,,,,,8,8,,1,8,9,19,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,20,Fabricage van kunstbloemen,A,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,2,,,,1,,,,,,,,,,,,,,,,,,,1,3,3,3,4,20,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,21,Id.,D,,,,,,,1,,,,,,2,,,,4,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,9,1,9,21,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,22,Fabricage van patronen (modellen),A,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,22,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,23,Id.,D,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,23,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,24,Kantwerksters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,2,,24,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,25,Opzetters van vogels,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,25,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,,Totaal voor VII,A,,,,,,,,,,,2,,,,7,,2,5,2,,,37,20,,4,87,15,3,1,28,6,4,,11,,1,,4,1,2,,6,,2,,,,,,178,53,12,7,190,60,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,,Totaal voor VII,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,,Totaal voor VII,C,,,,,,,,1,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,,Totaal voor VII,D,,2,,5,,16,1,33,,,49,,2,,96,,6,13,21,,1,53,47,1,4,72,11,1,2,16,2,,1,5,,1,,4,,,2,,,,,,,,,163,282,3,19,166,301,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,,Totaal voor groep VII,,,2,0,5,0,16,1,34,0,0,51,0,2,0,103,0,8,18,23,0,1,91,67,1,8,162,26,4,3,44,8,4,1,16,0,2,0,8,1,2,2,6,0,2,0,0,0,0,0,345,336,15,26,360,362,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,VIII,,,"Leder, wasdoek, caoutchouc, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,A,,Leder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,26,Fabricage van drijfriemen,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,26,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,27,Id.,D,,,,1,,3,,4,,,5,,,1,8,,,1,,,,8,2,,,6,1,,,2,,,,,,,,,,,,,,,,,,,,18,24,,,18,24,27,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,28,Fabricage van lederwaren,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,28,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,29,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,30,Id.,D,,,,,,1,,,,,1,,,,,,,,,,,3,1,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,6,4,,,6,4,30,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,31,Fabricage van schoenen (schoenmakers),A,,,,,,,,4,,,18,,,19,163,,,54,91,,,464,189,,2,783,77,2,2,294,37,,,172,6,2,,130,3,1,,107,2,,,,,,,2023,590,5,4,2028,594,31,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,32,Id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,3,,32,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,33,Id.,C,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,1,,,1,1,,,,,,2,,,,,,,,,,,,,,3,,3,4,6,4,33,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,34,Id.,D,,6,,47,,127,,372,,1,344,,4,8,467,,8,24,106,,2,194,193,1,5,231,67,4,5,110,9,1,,61,4,,1,41,5,,,30,,,,,,,,700,1747,6,25,706,1772,34,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,35,Koffermakers,A,,,,,,,,,,,,,,,2,,,,,,,7,1,,,10,,,,4,,1,,,,,,,,,,,,,,,,,,21,3,1,,22,3,35,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,36,Id.,D,,,,,,2,,5,,,2,,,,8,,,,3,,,2,4,,,3,,,,2,,,,,,,,,,,,,,,,,,,,7,24,,,7,24,36,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,37,Leerlooiers,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,1,,,,,,,,1,,,,,,,,8,,,,8,,37,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,38,Id.,D,,,,,,,,2,,,1,,,,4,,,,3,,,8,5,,,18,2,,,4,,,,1,,,,1,,,,1,,,,,,,,33,17,,,33,17,38,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,39,Huidenzoeters,A,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,2,,,,1,,,,,,,,1,,,,,,,,4,4,,,4,4,39,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,40,Id.,D,,,,,,,,,,,,,,1,3,,,1,4,,,7,7,,,6,1,,,8,,,,2,,,,1,,,,1,,,,,,,,27,15,,,27,15,40,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,41,Zadelmakers,A,,,,,,,,,,,,,,,1,,,,2,,,10,3,,,32,6,1,,18,1,,,6,,,,3,,,,1,1,,,,,,,70,14,1,,71,14,41,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,42,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,42,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,43,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,43,BT ,1889_02_T1,18,19,HET RIJK,29_0378
,,,44,Id.,D,,,,3,,11,,29,,,25,,,2,40,,,4,9,,,48,24,,,59,9,,,20,4,,,7,,,,3,,,,,,,,,,,,143,154,,,143,154,44,BT ,1889_02_T1,18,19,HET RIJK,29_0378
