"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,1,Fabricage van flas,D,,,,,1,1,2,6,7,,4,,10,1,5,,14,1,,1,4,11,3,6,10,3,,1,8,7,,2,,,,,,,,1,,,,,,,,,,23,19,11,56,34,75,1,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,2,Zeilmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,1,,,,1,,,,,,,,6,,,,6,,2,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,3,id,D,,,,,,,,3,,,2,,,,5,,,,1,,,2,1,,,4,,,,,,,,1,,,,,,,,,,,,,,,,7,12,,,7,12,3,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XIV,A,,,,,,,,,,,,,,,,,,,,,,2,2,,1,6,1,1,,4,1,,,1,,,,3,1,,,2,,,,,,,,18,5,1,1,19,6,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XIV,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XIV,C,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XIV,D,,1,,2,3,2,8,15,15,,11,,18,2,12,,27,1,2,1,8,20,8,7,14,17,1,2,9,13,,2,1,9,1,,,2,,2,,2,,3,,,,,,66,55,17,103,83,158,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor groep XIV,,,1,0,2,3,2,8,15,15,0,11,0,18,2,13,0,27,1,2,1,8,23,10,7,15,24,2,3,9,18,1,2,1,11,1,0,0,5,1,2,0,4,0,3,0,0,0,0,0,88,61,18,104,106,165,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,XV,,,"Verlichting, olie, vet ,zeep, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,A.,,Verlichting enz. (incl. gemeentelijkegasfabrieken).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,4,Fabricage van gas,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,4,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,5,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,5,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,6,id.,D,,,,,,,,,,,,,,,,,,,,,,8,,,,27,,,,7,,,,2,,,,1,,,,,,,,,,,,45,,,,45,,6,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,7,Gasfitters,A,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,4,,7,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,8,id.,D,,,,,,3,,3,,,2,,,,5,,,,3,,,8,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,10,17,,,10,17,8,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,B.,,"Olie, vernis, vet, zeep, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,9,Fabricage van olie (olieslagers),A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,1,1,,,,,,,,,,,,,,,4,1,1,,5,1,9,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,10,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,10,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,11,id.,D,,,,,,,,1,,,1,,,,5,,,,2,,,8,1,,,9,1,,,5,1,,,,,,,,,,,,,,,,,,,22,12,,,22,12,11,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,12,Fabricage van vernis,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,12,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,13,Zeepzieders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,14,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,4,,14,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XV,A,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,1,,3,,,,1,1,,,,,,,,,,,,,,,9,1,1,,10,1,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XV,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XV,C,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor XV,D,,,,,,3,,4,,,3,,,,10,,,,5,,,25,2,,,40,1,,,12,1,,,4,,,,1,,,,,,,,,,,,82,29,,,82,29,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,Totaal voor groep XV,,,,,,,3,,4,,,3,,,,10,,,,5,,,29,2,,,47,1,1,,15,1,,,5,1,,,2,,,,,,,,,,,,98,30,1,,99,30,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,XVI,,,Voedings- en genotmiddelen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,A.,,"Grutterijen, meemolens enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,15,Fabricage van meel,A,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,4,,1,,5,,15,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,16,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,16,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,17,id.,D,,,,,,,,,,,,,,1,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,17,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,18,Grutters,A,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,18,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,19,id.,D,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,3,4,19,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,20,"Molenaars (meel-, rijst-, enz.)",A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,20,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,21,id.,D,,,,,,,,1,,,1,,,,3,,,,1,,,1,2,,,6,,,,1,,,,,,,,,,,,,,,,,,,,8,8,,,8,8,21,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,B.,,"Bakkerijen (brood-, banket-, suiker-, enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,22,"Beignets-, poffertjes- en wafelbakkers",A,,,,,,,,,,,,,,,,,,,,,,1,1,1,,2,,,,,,,,1,,,,,,,,1,,,,,,,,5,1,1,,6,1,22,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,23,id.,D,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,23,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,24,Brood- en beschuitbakkers,A,,,,,,,,,,,,,,,,,,1,,,,22,3,,,25,,2,,12,,3,,3,1,1,,1,,,,1,,,,,,,,65,4,6,,71,4,24,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,25,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,1,,,,,,,,5,,,,5,,25,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,26,id.,C,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,26,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,27,id.,D,,,,,,2,,24,,,36,,,,75,,,,16,,,21,16,,,27,2,,,9,,,,2,,,,1,,,,1,,,,,,,,61,171,,,61,171,27,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,28,Confiseurs,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,28,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,29,id.,D,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,29,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,30,Fabricage van brood en beschuit,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,30,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,31,id.,D,,,,,,,,,,,,,,1,,,,,1,,,4,1,,,4,2,,,1,,,,,,,,,,,,,,,,,,,,10,4,,,10,4,31,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,32,Fabricage van suikerwerken ,A,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,5,,,,5,,32,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,33,id.,D,,,,,,2,,2,,,3,,,,2,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,3,9,33,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,18,19,HET RIJK,30_0011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0012,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,1,Koek- en banketbakkers,A,,,,,,,,,,,,,,,,,,,1,,,11,2,,,15,,3,,4,,,,1,,,,1,,,,2,,,,,,,,34,3,3,,37,3,1,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,2,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,3,id.,D,,,,,,1,,6,,,11,,,,36,,,1,8,,,2,10,,,4,1,,,1,,,,1,,,,,,,,,,,,,,,,9,73,,,9,73,3,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,4,Koks en kooksters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,4,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,5,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,1,,2,1,5,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,6,id.,D,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,2,6,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,C.,,Beetwortelsuikerfabrieken en suikerraffinaderijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,7,Fabricage van beetwortelsuiker,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,5,,,,5,,7,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,8,id.,D,,,,,,,,1,,,2,,1,,4,,1,1,1,,,9,2,,,18,1,,1,9,,,,2,,,,2,,,,,,,,,,,,41,11,,3,41,14,8,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,D.,,"Aardappelmeel- en stroopfabrieken, stijfsel, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,9,Fabricage van aardappelmeel,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,9,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,10,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,10,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,11,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,E.,,Cacao- en chocoladefabrieken.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,12,Fabricage van cacao,D,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,1,2,12,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,13,Fabricage van chocolaad,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,13,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,F.,,"Koffie (bewerking van), cichrei, koffiestroop, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,14,Fabricage van cichorei en koffiestroop.,A,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,14,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,15,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,15,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,16,id.,D,,,,,,1,,2,,,4,,,,4,,,,,,,2,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,6,11,,,6,11,16,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,17,Koffiebranders,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,3,,,,3,,17,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,G.,,Verduurzaamde levensmiddelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,18,Fabricage van mosterd,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,18,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,H.,,Vleeschbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,19,Fabricage van vleeschwaren,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,20,id.,D,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,20,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,21,Paardenslachters,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,21,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,22,id.,D,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,22,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,23,Poeliers,A,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,6,,23,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,24,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,24,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,25,Vleeschhouwers,A,,,,,,,,,,,,,,,2,,,,,,,31,4,,,38,6,1,1,12,,2,,8,,,,1,,,,2,,2,,,,,,92,12,5,1,97,13,25,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,26,id.,D,,1,,,,1,,16,,,21,,,,51,,,,13,,,6,19,,,4,6,,,4,,,,,,,,1,,,,,,,,,,,,15,128,,,15,128,26,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,K.,,Boter- en kaasbereiding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,27,Fabricage van kunstboter,C,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,27,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,I.,,"Vruchtensappen, mineraalwater, ijsbereiding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,28,Fabricage van minerale wateren,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,1,,,,,,,,,,,,,,,5,1,,,5,1,28,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,29,id.,D,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,6,1,,,6,1,29,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,30,Fabricage van vruchtensappen,A,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,30,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,M.,,"Jenever- en likeurstokerijen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,31,Fabricage van elixer,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,31,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,32,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,32,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,33,id.,D,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,33,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,34,Fabricage van gist,D,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,34,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,35,Fabricage van likeuren,A,,,,,,,,,,,,,,,,,,,,,,1,,1,,5,,,,1,,,,,,,,,,,,,,,,,,,,7,,1,,8,,35,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,36,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,36,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,37,id.,D,,,,,,,,3,,,1,,,,1,,,,,,,2,,,,3,,,,,,,,1,,,,2,,,,,,,,,,,,8,5,,,8,5,37,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,N.,,"Brouwerij, Azijnmakerij enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,38,Bierbottelaars,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,38,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,39,Bierbrouwers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,3,,39,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,40,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,40,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,41,id.,D,,,,,,,,,,,,,,,2,,,,,,,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,11,2,41,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,20,21,HET RIJK,30_0012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0013,BT,1889_03_T1,22,23,HET RIJK,30_0013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Fabricage van azijn,A,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,1,,,,,,,
,,,2,id.,D,,,,,,,,1,,,,,,,1,,,,,,,2,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,5,2,,,5,2,2,,,,,,,
,,O.,,Tabakbewerking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,Fabricage van sigaren en tabak,A,,,,,,,,,,,,,,,,,,,1,,,12,5,,,14,4,,,5,,,,1,1,,,2,,,,,,,,,,,,34,11,,,34,11,3,,,,,,,
,,,4,id.,C,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,4,,,,,,,
,,,5,id.,D,,3,,16,,22,,54,,,41,,1,,75,,,6,15,2,3,30,14,4,7,15,1,1,2,1,,,,,,,,,,,,,,,,,,,,52,241,7,13,59,254,5,,,,,,,
,,,6,Tabakskervers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,6,,,,,,,
,,,7,id.,D,,,,,,1,,6,,,8,,,1,9,,,1,1,,,7,1,,,10,,,,7,,,,,,,,1,,,,1,,,,,,,,28,26,,,28,26,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XVI,A,,,,,,,,,,,,,,,2,,,1,4,,,86,18,2,,117,10,6,1,44,1,5,,17,3,2,,8,,,,6,,3,,,,,,279,38,18,1,297,39,,,,,,,,
,,,,Totaal voor XVI,B,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,1,,,,1,,,,,,,,1,,,,,,,,7,,,,7,,,,,,,,,
,,,,Totaal voor XVI,C,,,,,,,,,,,,,,,3,,,,1,,,6,3,,,7,,,,3,,,,1,,,,,,,,1,,1,,,,,,18,7,1,,19,7,,,,,,,,
,,,,Totaal voor XVI,D,,4,,16,,30,,119,,,131,,2,3,269,,1,9,60,3,3,103,67,4,8,110,14,1,3,38,,,,8,,,,9,,,,3,,,,,,,,283,710,8,17,291,727,,,,,,,,
