"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1877",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,31,id.,D,,,,2,,5,,7,,,6,,,,14,,,,5,,,8,9,,,9,3,,,4,,,,,,,,,,,,,,,,,,,,21,51,,,21,51,31,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,32,Fabricage van ornamenten,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,32,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,33,Reparateurs van antiquiteiten,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,5,2,,,,,,,,,,,,,,,,,,,,,,,6,4,,,6,4,33,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,138,139,HET RIJK,29_0438
,B.,,Schilderwerk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,34,Glasbranders,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,34,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,35,id.,D,,,,1,,,,1,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,4,35,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,36,Glasschilders,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,3,1,,,3,1,36,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,37,id.,D,,,,,,1,,1,,,2,,,1,6,,,,3,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,7,13,,,7,13,37,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,38,Plateelschilders,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,1,38,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,39,Porseleinschilders,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,39,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,40,Vernissers,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,40,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,138,139,HET RIJK,29_0438
,C.,,Metaalwerk enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,41,Cachetsnijders ,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,41,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,42,id.,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,42,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,43,Graveurs,A,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,1,,,,,,,,,,,,6,,,,6,,43,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,44,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,44,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,45,id.,D,,,,,,,,1,,,2,,,,7,,,,1,,,3,4,,,,,,,2,,,,1,,,,,,,,,,,,,,,,6,15,,,6,15,45,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,46,Ornamentmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,46,BT,1889_02_T3,138,139,HET RIJK,29_0438
,,47,id.,D,,,,,,,,2,,,,,,1,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,4,3,47,BT,1889_02_T3,138,139,HET RIJK,29_0438
VII,,,D. Naaldwerk en andere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,1,Borduursters,A,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,4,,,,,,,1,,,,,,,,,,,,4,6,4,6,1,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,2,Id.,D,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,3,Borduurwerkers,A,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,1,,1,2,2,3,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,4,Id.,D,,,,,,,,2,,,,,,,1,,,,,,,2,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,5,4,,,5,4,4,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,5,Fabricage van kunstbloemen,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,5,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VII,A,,,,,,,,,,,,,,,1,,1,,1,,,6,8,1,1,24,4,3,1,8,2,1,4,4,,,,3,,2,,1,,1,,,,,,46,16,8,7,54,23,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VII,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VII,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VII,D,,,,3,,6,,14,,,10,,,2,29,,1,1,12,,,16,15,,,24,3,1,1,6,,,,2,,,,,,,,,,,,,,,,51,92,1,2,52,94,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor groep VII,,,0,0,3,0,6,0,14,0,0,10,0,0,2,30,0,2,1,13,0,0,23,23,1,1,48,7,4,2,14,2,1,4,6,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,98,108,9,9,107,117,,BT,1889_02_T3,140,141,HET RIJK,29_0439
VIII,,,"Leder, wasdoek, caoutchouc, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,A. Leder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,6,Fabricage van drijfriemen,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,6,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,7,Id.,D,,,,,,1,,,,,1,,,,4,,,,2,,,5,,,,5,1,,,,,,,1,,,,,,,,,,,,,,,,11,9,,,11,9,7,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,8,Fabricage van lederwaren,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,4,,,,4,,8,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,9,Id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,10,Id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,11,Fabricage van schoenen (schoenmakers),A,,,,,,2,,9,,,17,,,20,152,,,55,120,,,812,309,1,,1133,121,9,,649,96,8,,255,23,5,,234,12,5,,195,6,9,,,,,,3353,867,37,,3390,867,11,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,12,Id.,B,,,,,,1,,,,,,,,,3,,,,4,,,1,3,,,2,7,,,1,,,,,,,,,,,,,,,,,,,,4,18,,,4,18,12,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,13,Id.,C,,,,,,,,,,,,,,,2,,,1,1,,,3,5,,,1,5,,,1,,,,,,,,1,,,,,,,,,,,,5,13,,,5,13,13,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,14,Id.,D,,17,,117,1,181,1,553,7,,596,,12,11,1197,,18,37,312,,7,332,644,6,14,359,193,5,8,189,49,,3,54,9,,2,42,10,,,22,4,,1,,,,,1046,3882,11,74,1057,3956,14,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,15,Fabricage van zeemleder,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,15,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,16,Id.,D,,,,,,,,,,,1,,,,2,,,,1,,,1,1,,,10,,,,6,,,,2,,,,,,,,,,,,,,,,19,5,,,19,5,16,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,17,Koffermakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,17,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,18,Id.,D,,,,,,2,,2,,,4,,,,5,,,,2,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,2,16,18,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,19,Leerlooiers,A,,,,,,,,,,,,,,,1,,,1,,,,17,16,1,,58,25,2,,24,4,3,,9,2,,,3,3,1,,9,3,2,,,,,,121,54,9,,130,54,19,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,20,Id.,B,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,20,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,21,Id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,5,,21,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,22,Id.,D,,,,1,,3,,14,,,21,,,,70,,,5,24,,,71,51,,,83,25,,,50,4,,,11,,,,10,,,,11,,,,,,,,241,213,,,241,213,22,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,23,Huidenzouters,A,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,1,,,,,,,,2,,,,2,1,,,,,,,11,1,,1,11,2,23,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,24,Id.,D,,,,,,,,1,,,1,,,,3,,,,,,,6,1,,,8,1,,,4,,,,2,,,,,,,,,,,,,,,,20,7,,,20,7,24,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,25,Zadelmakers,A,,,,,,,,,,,1,,,,4,,,5,7,,,41,13,,,93,11,2,,56,3,2,,24,4,1,,13,,1,,11,,,,,,,,243,43,6,,249,43,25,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,26,Id.,B,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,26,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,27,Id.,D,,,,10,,12,,45,,,59,,,1,61,,,2,23,,,25,47,,1,25,13,,,9,3,,,3,1,,,1,,,,4,1,,,,,,,70,275,,1,70,276,27,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,B. Wasdoek en caoutchouc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,28,Fabricage van caoutchoucwaren,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,28,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,29,Id.,D,,,,2,,,,,,,4,,,,1,,,2,,,,1,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,6,8,,,6,8,29,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VIII,A,,,,,,2,,9,,,18,,,20,157,,,61,127,,,872,338,2,,1295,157,13,1,732,103,13,,289,29,6,,252,15,7,,217,10,11,,,,,,3738,965,52,1,3790,966,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VIII,B,,,,,,1,,,,,,,,,4,,,,5,,,2,6,,,3,10,,,1,,,,,,,,,,,,,,,,,,,,6,26,,,6,26,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VIII,C,,,,,,,,,,,,,,,2,,,1,1,,,6,5,,,4,5,,,2,,,,1,,,,1,,,,,,,,,,,,15,13,,,15,13,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor VIII,D,,17,,130,1,199,1,615,7,,687,,12,12,1343,,18,46,364,,7,442,745,6,15,494,234,5,8,259,56,,3,73,10,,2,53,10,,,37,5,,1,,,,,1416,4415,11,75,1427,4490,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,Totaal voor groep VIII,,,,,130,1,202,1,624,7,,705,,12,32,1506,,18,108,497,,7,1322,1094,8,15,1796,406,18,9,994,159,13,3,363,39,6,2,306,25,7,,254,15,11,1,,,,,5175,5419,63,76,5238,5495,,BT,1889_02_T3,140,141,HET RIJK,29_0439
IX,,,"Metalen (winnen en eerste bewerking van) steenkolen, turf, zout, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,,B. Steenkolen en turf (mijnwerk en fabricage).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,30,Directeuren en steenkolenmijnen,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,30,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,31,Fabricage van briquetten,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,3,1,,,3,1,31,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,32,Id.,D,,,,,,,,1,,,2,,,,1,,,1,,,,5,,,,8,,,,1,,,,,,,,1,,,,,,,,,,,,16,4,,,16,4,32,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,33,Fabricage van turfstrooisel,A,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,7,,33,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,34,Id.,B,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,34,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,35,Id.,C,,,,,,,,,,,,,,,1,,,,2,,,5,2,,,4,1,,,,,,,,,,,,,,,,,,,,,,,9,6,,,9,6,35,BT,1889_02_T3,140,141,HET RIJK,29_0439
,,36,Id.,D,,,,,,,,4,,,7,,,,22,,,1,4,,,25,24,,,20,6,,,7,,,,1,,,,,,,,,,,,,,,,54,67,,,54,67,36,BT,1889_02_T3,140,141,HET RIJK,29_0439
XI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,1,Kolenbranders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,2,Id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,3,Kolenwerkers,D,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,4,3,,,4,3,3,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,4,Mijnwerkers,C,,,,,,,,,,,,,,,,,,,,,,5,4,,,9,1,,,8,,,,,,,,1,,,,,,,,,,,,23,5,,,23,5,4,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,5,Id.,D,,1,,1,,4,,35,,,67,,,2,171,,,11,52,,,246,115,,,279,35,,,94,6,,,12,1,,,11,,,,,4,,,,,,,655,492,,,655,492,5,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,6,Turfgravers en stekers,D,,1,,,,2,,5,2,,11,,2,,26,,1,2,5,,1,25,12,,,57,5,,,27,,,,5,,,,1,,,,,,,,,,,,117,67,,6,117,73,6,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,C. Veenderij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,7,Verveners,A,,,,,,,,,,,,,,,11,,,4,4,,,62,25,,,164,18,2,,82,7,,,37,2,1,,24,2,1,,25,1,,,,,,,398,70,4,,402,70,7,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,8,Id.,B,,,,,,,,,,,,,,,1,,,,,,,10,5,,,22,3,,,9,,,,2,,,,1,,,,,,,,,,,,44,9,,,44,9,8,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,9,Id.,C,,,,,,,,1,,,1,,,,3,,,1,8,,,8,10,,,19,4,,,10,,,,3,,,,1,,,,1,,,,,,,,43,27,,,43,27,9,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,10,Id.,D,,12,6,12,6,44,23,147,79,,321,,164,52,956,62,302,130,267,55,67,1212,480,377,104,1393,112,318,44,577,32,196,6,203,9,49,3,125,2,29,,75,,23,,,,,,3767,2394,1109,804,4876,3198,10,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,D. Zoutbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,11,Zoutzieders,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,7,2,,,2,,,,1,,,,2,,,,,,,,,,,,13,4,,,13,4,11,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,12,Id.,B,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,12,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,13,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,14,Id.,D,,,,,,,,1,,,2,,,1,6,,,3,3,,,30,4,,,41,2,,,14,1,,,8,,,,2,,,,2,,,,,,,,101,19,,,101,19,14,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,Totaal voor IX,A,,,,,,,,,,,,,,,11,,,4,4,,,69,27,,,173,20,2,,87,7,,,38,2,1,,26,2,1,,25,2,,,,,,,422,75,4,,426,75,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,Totaal voor IX,B,,,,,,,,,,,,,,,3,,,,,,,11,7,,,23,3,,,10,,,,2,,,,1,,,,,,,,,,,,47,13,,,47,13,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,Totaal voor IX,C,,,,,,,,1,,,1,,,,4,,,1,10,,,18,16,,,33,6,,,18,,,,3,,,,2,,,,1,,,,,,,,76,38,,,76,38,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,Totaal voor IX,D,,14,6,13,6,50,23,193,81,,410,,166,55,1183,62,303,148,331,55,68,1544,637,377,104,1799,160,318,44,722,39,196,6,229,10,49,3,141,2,29,,77,4,23,,,,,,4715,3046,1109,810,5824,3856,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,Totaal voor groep IX,,,14,6,13,6,50,23,194,81,0,411,0,166,55,1201,62,303,153,345,55,68,1642,687,377,104,2028,189,320,44,837,46,196,6,272,12,50,3,170,4,30,0,103,6,23,0,0,0,0,0,5260,3172,1113,810,6373,3982,,BT,1889_02_T3,142,143,HET RIJK,29_0440
X,,,Metalen (Bewerking van),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,A. Edele metalen en munten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,15,Emailleerders,D,,,,,,1,,,,,1,,,,3,,,,,,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,3,5,1,,4,5,15,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,16,Fabricage van goud- en zilverwerken,A,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,,2,1,16,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,17,Id.,D,,,,1,,1,,1,,,3,,,,6,,,,1,,,6,4,,,2,,,,1,,,,,,,,,,,,,,,,,,,,9,17,,,9,17,17,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,18,Goudsmeden,A,,,,,,,,,,,,,,,2,,,,5,,,17,8,,,63,11,1,,38,3,1,,13,1,,,15,2,,,20,1,1,,,,,,166,33,3,,169,33,18,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,19,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,19,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,20,Id.,C,,,,,,,,,,,,,,,,,,,,,,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,20,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,21,Id.,D,,,,6,,7,,25,,,24,,,,46,,,1,12,,,34,38,,,40,14,,,13,2,,,4,1,,,1,1,,,,,,,,,,,93,176,,,93,176,21,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,22,Juweliers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,22,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,23,Id.,D,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,23,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,B. Niet-edele metalen (behalve ijzer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,24,Blikslagers,A,,,,,,,,1,,,1,,,,2,,,2,1,,,14,1,,,34,2,,,16,1,,,7,,,,5,,,,6,,,,,,,,84,9,,,84,9,24,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,25,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,25,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,26,Id.,D,,,,3,,5,,22,,,24,,,2,42,,,12,4,,,28,19,,,22,3,,,3,1,,1,3,,,,1,,,,,1,,,,,,,71,124,,1,71,125,26,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,27,Fabricage van blik,A,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,4,,27,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,28,Fabricage van koperwerk,A,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,4,1,,,4,1,28,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,29,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,29,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,30,Id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,30,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,31,Id.,D,,,,,,2,,2,,,1,,,1,2,,,1,,,,12,1,,,12,,,,,1,,,1,,,,1,,,,,,,,,,,,28,9,,,28,9,31,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,32,Fabricage van metaalwaren,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,32,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,33,Id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,33,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,34,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,34,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,35,Id.,D,,,,,,2,,1,,,3,,,,3,,,2,1,,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,11,,,7,11,35,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,36,Fabricage van zink- en zinkwaren,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,36,BT,1889_02_T3,142,143,HET RIJK,29_0440
