"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,,Totaal voor V,D,,9,,66,4,154,6,491,20,4,619,,10,37,1534,,27,92,438,,4,985,1064,6,13,1014,241,6,1,470,66,5,1,173,18,2,,107,12,4,,73,8,2,,1,,,,2956,4720,25,86,2981,4806,,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,,Totaal voor groep V,,,9,0,67,4,154,6,498,20,4,643,0,13,46,1746,0,32,117,555,1,8,1693,1538,17,16,2531,537,22,3,1306,148,22,4,496,57,8,2,352,32,9,1,273,40,8,1,1,0,0,0,6819,6024,87,110,6906,6134,,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,198,199,HET RIJK,29_0468
,VI,,,Kleeding en Reiniging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,A.,,"Kleeding, bedden, haarwerk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,4,Costumiers (makers van costumen),A,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,4,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,5,Coupeurs en coupeuses,C,,,,,,,,,,,,,,,1,,,,,,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,2,4,5,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,6,Dameskleedermakers,A,,,,,,,,,,,,,,,,,3,,,1,2,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,1,8,1,8,6,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,7,id.,D,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,7,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,8,Fabricage van bedden en matrassen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,8,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,9,id.,C,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,9,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,10,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,10,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,11,Fabricage van dekens,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,3,,11,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,12,id.,D,,,,,1,1,,1,,,1,,,,1,,1,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,2,4,1,2,3,6,12,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,13,Fabricage van hoeden en petten,A,,,,,,,,,,,,,,,,,,,1,,,5,5,,1,11,2,1,1,5,,,,3,,,,3,,,,2,,,,,,,,29,8,1,2,30,10,13,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,14,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,3,,14,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,15,id.,D,,,,,,2,,4,,,6,,,,11,,5,1,2,,,5,3,,,3,2,,1,3,,,,3,2,,,,,,,,,,,,,,,15,32,,6,15,38,15,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,16,Fabricage van parapluien,A,,,,,,,,,,,,,,,1,,,,,,,1,,,,4,,,,6,,,,3,,,,1,,,,,,,,,,,,15,1,,,15,1,16,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,17,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,18,id.,C,,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,18,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,19,id.,D,,,,,,,,,,,1,,,,,,,,,,,,,1,,4,,,,,3,,,,,,,,,,,,,,,,,,,4,4,1,,5,4,19,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,20,Haarwerkers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,20,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,21,id.,D,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,21,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,22,Hoedenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,3,22,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,23,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,23,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,24,Kleermakers,A,,,,,,,,1,,,12,,1,11,120,,,61,93,,,582,330,1,1,1211,254,3,1,821,99,7,,355,30,2,,212,22,2,,205,11,,,,,,,3458,972,15,3,3473,975,24,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,25,id.,B,,,,,,,,,,,,,,,18,,,,5,,,5,17,,,1,5,,,,1,,,,,,,,,,,,,,,,,,,6,46,,,6,46,25,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,26,id.,C,,,,,,1,,,,,1,,,,1,,,,1,,,1,1,,,3,1,,,1,,,,1,,,,,,,,,,,,,,,,6,6,,,6,6,26,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,27,id.,D,,3,,42,,87,,301,,,389,,,5,811,,1,10,191,,,79,381,,1,57,105,,1,24,22,,1,12,6,,,3,3,,,6,,,,,,,,196,2341,,4,196,2345,27,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,28,Modisten,A,,,,,1,,,,4,,,,10,,,4,95,,,6,43,,,50,141,,,72,60,,,43,10,,,10,4,,,4,2,,,1,2,,,,,,,190,372,190,372,28,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,29,id.,B,,,,,,,,,,,,,2,,,,3,,,,,,,2,2,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,6,8,6,8,29,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,30,id.,C,,,,,1,,,,12,,,,23,,,,44,,,,14,,,2,27,,,2,15,,,,1,,,1,1,,,,,,,,,,,,,,,5,138,5,138,30,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,31,Mutsenmaaksters,A,,,,,,,,,,,,,3,,,1,10,,,,8,,,9,23,,,7,20,,,9,13,,,2,3,,,2,6,,,4,1,,,,,,,34,87,34,87,31,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,32,id.,D,,,,,,,,,1,,,,5,,,,12,,,,7,,,,13,,,2,7,,,,3,,,1,1,,,,,,,,,,,,,,,3,49,3,49,32,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,33,Naaisters,A,,,1,,,,5,,25,,,,220,,,37,837,,,33,326,,,294,1029,,,471,699,,,290,333,,,115,124,,,93,62,,,81,46,,,,1,,,1414,3708,1414,3708,33,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,34,id.,B,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,34,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,35,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,35,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,36,id.,D,,,1,,20,,29,,99,,,,133,,,7,281,,,3,115,,,30,283,,,36,145,,,28,46,,,18,18,,,10,6,,,9,3,,,,,,,141,1179,141,1179,36,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,B.,,"Reiniging, bleekerij, ververij.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,37,Bad- en zweminrichtingen,B,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,2,1,37,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,38,Badhouders,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,38,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,39,id.,D,,,,,,,,,,,,,,,,,,,,,,7,4,,,2,,,,,,2,,,,,,,,,,,,,,,,,,9,4,2,,11,4,39,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,40,Barbiers,A,,,,,,,,3,,,5,,,4,19,,,6,8,,,52,19,1,1,122,18,,,81,7,,,46,3,1,,30,1,1,,33,1,,,,,,,374,84,3,1,377,85,40,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,41,id.,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,3,1,,,3,1,41,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,42,id.,D,,,,,1,3,,16,,,23,,,1,37,,,,5,,,5,11,,1,10,3,,,5,,,,3,2,,,1,,,,,,,,,,,,25,100,,2,25,102,42,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,43,Bleekers,A,,,,,,,,,,,,,,1,4,1,,6,6,3,,99,6,12,1,159,12,23,4,94,2,20,2,26,1,9,1,16,,8,2,16,,3,1,,,,,417,31,79,11,496,42,43,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,44,id.,B,,,,,,,,,,,,,,,,,1,,,,,1,2,,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,4,2,,3,4,5,44,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,45,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,45,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,46,id.,D,,,,2,1,6,3,21,53,,37,,71,4,125,6,153,5,51,2,41,58,100,11,58,71,34,20,16,29,7,17,5,7,3,2,,4,,3,1,2,1,2,,,,,,180,387,63,402,243,789,46,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,47,Kappers,A,,,,,,,,,,,,,,,1,,,1,,,,5,1,,,4,,,,1,,,,,,,,,,,,,,,,,,,,11,2,,,11,2,47,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,48,id.,D,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,48,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,49,Mangellieden,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,1,,1,,2,,,,,,,,,,,,,,1,1,11,,12,1,49,BT,1889_02_T4,198,199,HET RIJK,29_0468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,198,199,HET RIJK,29_0468
,VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,1,Mutsenwaachers,A,,,,,,,,,1,,,,1,,,,9,,,1,3,,,4,13,2,4,10,8,,,12,10,,,3,3,,,2,2,,,3,3,,,,,2,4,35,53,37,57,1,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,2,id.,B,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,3,id.,D,,,,,,,,,2,,,,4,,,,14,,,,4,,,1,8,,,1,6,,,,6,,,,,,,,1,,,,,,,,,,,2,45,2,45,3,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,4,Stoffenververs,A,,,,,,,,,,,,,,,,,,,1,,,6,4,,,11,2,,,6,1,,1,,,,,3,,,,2,,,,,,,,28,8,,1,28,9,4,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,5,id.,D,,,,,,,,,,,,,1,,5,,,,2,,1,2,2,,,2,1,,,3,,,,,1,,,,,,,,,,,,,,,7,11,,2,7,13,5,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,6,Strijksters,A,,,,,,,,,,,,,,,,,1,,,,3,,,5,12,,,11,6,,,4,4,,,3,1,,,3,2,,,4,1,,,,,,,30,30,30,30,6,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,7,id.,D,,,,,,,,,2,,,,8,,,,22,,,,6,,,1,15,,,2,6,,,1,1,,,1,,,,,,,,,,,,,,,,5,60,5,60,7,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,8,Waschlieden,A,,,,,,,,,,,,,,,,2,3,,,,3,,,14,6,,,62,14,1,,46,12,,,25,2,,,13,1,,,6,1,,,,,1,,168,42,169,42,8,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,9,id.,D,,,,,,,,2,5,,2,,13,,7,2,41,,2,3,14,,1,11,33,,,48,16,,,25,14,,,8,1,1,,4,,,,9,1,,,,,1,14,110,138,111,152,9,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,10,Waschinrichtingen,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,C.,,Versiering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,11,Fabricage van handschoenen,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,12,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,12,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VI,A,,,1,,1,,5,4,30,,17,,235,16,145,45,958,74,109,44,388,751,365,392,1230,1525,293,672,814,1019,109,432,388,434,34,172,138,265,23,128,77,258,12,102,55,,,,1,4342,1111,1987,4321,6329,5432,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VI,B,,,,,,,,,,,,,2,,18,,5,,5,,,8,19,3,5,4,5,3,2,1,2,1,,,,,,,,,,,,,,,,,,13,49,7,14,20,63,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VI,C,,,,,,1,,,,,3,,,1,5,,,,1,,3,8,2,,2,8,1,1,,3,,,,3,,,,,,,,1,,1,,,,,,24,13,2,5,26,18,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VI,D,,3,1,44,24,99,32,345,174,,460,,258,10,1000,15,575,16,253,8,202,157,503,57,439,152,147,111,213,65,32,73,77,25,14,32,21,9,3,17,8,8,1,20,4,,,,,442,2904,333,2028,775,4932,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor groep VI,,,3,2,44,25,100,37,349,204,,480,,495,27,1168,60,1538,90,368,52,593,924,889,452,1676,1689,446,787,1029,1088,143,506,465,462,48,204,159,274,26,145,85,267,13,123,59,0,0,0,1,4821,4077,2329,6368,7150,10445,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,VII,,,Kunstnijverheid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,A.,,Beeld- en aardewerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,13,Beeldhouwers,A,,,,,,,,,,,1,,,,,,,,1,,,2,,,,2,1,,,,3,,,,,,,1,,,,1,,,,,,,,6,6,,,6,6,13,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,14,id.,D,,,,,,,,,,,1,,,,3,,,,1,,,1,5,,,2,4,,,,,,,,,,,,,,,,,,,,,,,3,14,,,3,14,14,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,B. ,,Schilderwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,15,Glasschilders ,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,15,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,16,id.,D,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,16,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,17,Vernissers,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,17,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,C.,,Metaalwerk enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,18,Graveurs,A,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,1,,,,1,,,,1,,,,,,,,,,,,6,1,,,6,1,18,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,19,id.,D,,,,,,,,2,,,1,,,,3,,,,1,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,8,7,,,8,7,19,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,20,ornamentmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,20,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,21,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,21,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,D.,,Naaldwerk en andere ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,22,Bloemenmaaksters,A,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,22,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,23,Borduursters,A,,,,,,,1,,2,,,,7,,,,24,,,,8,,,,16,,,3,6,,,1,1,,,1,,,,,,,,1,,,,,,,,6,65,6,65,23,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,24,id.,D,,,,,,,,,1,,,,1,,,,1,,,,,,,,5,,,,4,,,,6,,,,,,,,,,,,,,,,,,,,18,,18,24,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,25,Borduurwerksters,A,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,2,,1,1,3,1,25,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,26,Kantwerksters,A,,,,,,,,,5,,,,7,,,,18,,,,5,,,,13,,,,3,,,1,1,,,,,,,,,,,,,,,,,,,1,52,1,52,26,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VII,A,,,,,,,1,,7,,1,,14,,,,43,,1,,13,3,2,1,29,6,1,4,9,2,3,2,2,1,,1,,3,,,,1,,1,,,,,,16,8,9,118,25,126,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VII,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VII,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor VII,D,,,,,,,,2,1,,2,,1,,6,,1,,3,,,5,5,,5,6,4,,4,,,1,6,,1,,,,,,,,,,,,,,,11,23,1,18,12,41,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,Totaal voor groep VVI,,,0,0,0,0,0,1,2,8,0,3,0,15,0,6,0,44,0,4,0,13,8,7,1,34,12,5,4,13,2,3,3,8,1,1,1,0,3,0,0,0,1,0,1,0,0,0,0,0,27,31,10,136,37,167,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,VIII,,,"Leder, wasdoek, caoutchoue, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,A.,,Leder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,27,Fabricage van drijfriemen,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,27,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,28,id.,D,,,,,,,,3,,,1,,,,8,,,1,3,,,7,,,,6,1,,,1,,,,,,,,,,,,,,,,,,,,15,16,,,15,16,28,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,29,Fabricage van lederwaren,A,,,,,,,,,,,1,,,,,,,,,,,1,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,6,1,,,6,1,29,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,30,id.,D,,,,,,,,,,,1,,,,2,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,2,5,,,2,5,30,BT,1889_02_T4,200,201,HET RIJK,29_0469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,200,201,HET RIJK,29_0469
,VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,1,Fabricage van schoenen,A,,,,,,,,,,,25,,,19,204,,,73,102,,1,953,424,2,1,1447,264,10,1,843,106,12,,365,34,11,2,301,20,4,,293,22,8,,,,,,4294,1201,47,5,4341,1206,1,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,2,id.,B,,,,,,,,1,,,1,,,2,6,,,,3,,,,13,,,2,6,,,1,1,,,,,,,,,,,,,,,,,,,5,31,,,5,31,2,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,3,id.,C,,,,,,,,2,,,,,,,9,,,1,1,,,1,16,,,6,9,,,,2,,,,,,,1,,,,,,,,,,,,9,39,,,9,39,3,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,4,id.,D,,11,3,103,7,255,5,627,27,,759,,49,21,1543,,28,33,426,1,22,455,886,11,47,584,299,12,16,214,59,5,3,78,11,,,61,11,,,61,6,,,,,,,1507,4996,29,207,1536,5203,4,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,5,Koffermakers,D,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,2,,,2,,,,,1,1,,2,,2,,1,,,,,,,,9,4,3,,12,4,5,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,6,Leerlooiers,A,,,,,,,,,,,,,,,3,,,,3,,,51,61,,,140,58,2,,57,19,1,,15,6,,,14,6,3,,20,3,5,,,,,,297,159,11,,308,159,6,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,7,id.,B,,,,,,,,,,,,,,,1,,,,1,,,,6,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,11,,,,11,7,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,8,id.,C,,,,,,,,,,,,,,,1,,,,1,,,,3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,6,,,1,6,8,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,9,id.,D,,1,,,,6,,38,,,54,,,3,158,,,10,39,,,112,165,,,180,52,,,74,11,,,19,1,,,13,,,,3,1,,,,,,,414,526,,,414,526,9,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,10,Huidenzouters,A,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,,,,,,,,2,,,,2,,,,,,,,,,,,8,1,,,8,1,10,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,11,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,11,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,12,Zadelmakers,A,,,,,,,,,,,,,,,3,,,,3,,,49,17,,,111,10,,,52,7,3,,20,2,,,22,2,1,,16,1,1,,,,,,270,45,5,,275,45,12,BT,1889_02_T4,202,203,HET RIJK,29_0470
